Ref,Questions,A,B,C,D,Answer,Comment
PHC0128,What is the recommended management for a patient with a minor burn?,Topical antiseptic,Surgical debridement,Referral to a specialist,Cooling with water,D,The guideline recommends cooling a minor burn with water[cite: 21].
PHC0129,What is the recommended management for a patient with a major burn?,Oral antibiotics,Immediate referral,Topical antibiotics,Pain medication,B,The guideline recommends immediate referral for a patient with a major burn[cite: 21].
PHC0130,What is the recommended management for a patient with a suspected chemical burn?,Neutralizing the chemical with an alkali,Neutralizing the chemical with an acid,Irrigation with water,Topical antibiotics,C,The guideline recommends irrigation with water for a chemical burn[cite: 21].
PHC0131,What is the recommended management for a patient with an electrical burn?,Immediate referral,Oral antibiotics,Topical antibiotics,Pain medication,A,The guideline recommends immediate referral for a patient with an electrical burn[cite: 21].
PHC0132,What is the recommended management for a patient with a suspected stroke?,Oral aspirin,IV thrombolysis,Immediate referral,Physical therapy,C,The guideline recommends immediate referral for a patient with a suspected stroke[cite: 15].
PHC0133,Which of the following is the correct management for a patient with chronic psychosis?,Oral antipsychotic medication,Hospitalization,ECT (Electroconvulsive Therapy),Referral to a specialist,A,The guideline recommends long-term oral antipsychotic medication for chronic psychosis[cite: 16].
PHC0134,What is the recommended treatment for a patient with a suspected overdose of a benzodiazepine?,Flumazenil,Activated charcoal,Supportive care,Referral for psychiatric evaluation,A,The guideline recommends flumazenil for a benzodiazepine overdose[cite: 21].
PHC0135,What is the recommended management for a patient with a foreign body in the ear?,Removal of the foreign body,Irrigation,Referral to a specialist,Oral antibiotics,C,The guideline recommends referral to a specialist for a foreign body in the ear[cite: 19].
PHC0136,What is the recommended management for a patient with a foreign body in the nose?,Removal of the foreign body,Irrigation,Referral to a specialist,Oral antibiotics,C,The guideline recommends referral to a specialist for a foreign body in the nose[cite: 19].
PHC0137,What is the recommended management for a patient with a suspected head injury?,Immediate referral,Oral pain medication,Observation,CT scan,A,The guideline recommends immediate referral for a patient with a suspected head injury[cite: 19].
PHC0138,What is the recommended management for a patient with a suspected spinal injury?,Immediate referral,Immobilization and referral,Oral pain medication,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected spinal injury[cite: 19].
PHC0139,What is the recommended management for a patient with a suspected hip fracture?,Immediate referral,Immobilization and referral,Pain medication,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected hip fracture[cite: 19].
PHC0140,What is the recommended management for a patient with a suspected femoral neck fracture?,Immediate referral,Immobilization and referral,Pain medication,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected femoral neck fracture[cite: 19].
PHC0141,What is the recommended management for a patient with a suspected humeral shaft fracture?,Immediate referral,Immobilization and referral,Pain medication,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected humeral shaft fracture[cite: 19].
PHC0142,What is the recommended management for a patient with a suspected radius fracture?,Immediate referral,Immobilization and referral,Pain medication,X-ray,B,The guideline recommends immobilization and referral for a patient with a suspected radius fracture[cite: 19].
PHC0143,What is the recommended management for a patient with a suspected carpal tunnel syndrome?,Referral to a physiotherapist,Oral pain medication,Splinting,Surgical referral,C,The guideline recommends splinting for carpal tunnel syndrome[cite: 20].
PHC0144,What is the recommended treatment for a patient with a suspected deep vein thrombosis (DVT)?,Immediate referral,Anticoagulant medication,Bed rest,Elastic stockings,A,The guideline recommends immediate referral for a patient with a suspected DVT[cite: 20].
PHC0145,What is the recommended management for a patient with a suspected pulmonary embolism?,Immediate referral,Anticoagulant medication,Oxygen therapy,Observation,A,The guideline recommends immediate referral for a patient with a suspected pulmonary embolism[cite: 20].
PHC0146,What is the recommended management for a patient with a suspected acute myocardial infarction (AMI)?,Immediate referral,Aspirin,Nitroglycerin,Oxygen therapy,A,The guideline recommends immediate referral for a patient with a suspected AMI[cite: 4].
PHC0147,What is the recommended management for a patient with a suspected unstable angina?,Immediate referral,Aspirin,Nitroglycerin,Oxygen therapy,A,The guideline recommends immediate referral for a patient with a suspected unstable angina[cite: 4].
PHC0148,What is the recommended management for a patient with a suspected acute cardiac failure?,Immediate referral,Diuretics,ACE-inhibitor,Oxygen therapy,A,The guideline recommends immediate referral for a patient with a suspected acute cardiac failure[cite: 4].
PHC0149,What is the recommended management for a patient with a suspected acute pulmonary oedema?,Immediate referral,Diuretics,IV furosemide,Oxygen therapy,A,The guideline recommends immediate referral for a patient with a suspected acute pulmonary oedema[cite: 4].
PHC0150,What is the recommended management for a patient with a suspected acute hypertensive crisis?,Immediate referral,Oral nifedipine,IV labetalol,Oral hydralazine,A,The guideline recommends immediate referral for a patient with a suspected acute hypertensive crisis[cite: 4].
PHC0151,What is the recommended management for a patient with a suspected acute stroke?,Immediate referral,Aspirin,Thrombolysis,Anticoagulants,A,The guideline recommends immediate referral for a patient with a suspected stroke[cite: 15].
PHC0152,What is the recommended management for a patient with a suspected acute meningitis?,Immediate referral,IV antibiotics,Oral antibiotics,Observation,A,The guideline recommends immediate referral for a patient with a suspected acute meningitis[cite: 15].
PHC0153,What is the recommended management for a patient with a suspected encephalitis?,Immediate referral,IV antivirals,Oral antivirals,Observation,A,The guideline recommends immediate referral for a patient with a suspected encephalitis[cite: 15].
PHC0154,What is the recommended management for a patient with a suspected tetanus?,Immediate referral,Tetanus immunoglobulin,Oral antibiotics,Referral to a general practitioner,A,The guideline recommends immediate referral for a patient with a suspected tetanus[cite: 10].
PHC0155,What is the recommended management for a patient with a suspected rabies?,Immediate referral,Rabies vaccine,Rabies immunoglobulin,Oral antibiotics,A,The guideline recommends immediate referral for a patient with a suspected rabies[cite: 10].
PHC0156,What is the recommended management for a patient with a suspected snakebite?,Immediate referral,Antivenom,Pain medication,Observation,A,The guideline recommends immediate referral for a patient with a suspected snakebite[cite: 21].
PHC0157,What is the recommended management for a patient with a suspected spider bite?,Immediate referral,Antivenom,Pain medication,Observation,A,The guideline recommends immediate referral for a patient with a suspected spider bite[cite: 21].
PHC0158,What is the recommended management for a patient with a suspected scorpion sting?,Immediate referral,Antivenom,Pain medication,Observation,A,The guideline recommends immediate referral for a patient with a suspected scorpion sting[cite: 21].
PHC0159,What is the recommended management for a patient with a suspected drug overdose?,Immediate referral,Activated charcoal,Gastric lavage,Supportive care,A,The guideline recommends immediate referral for a patient with a suspected drug overdose[cite: 21].
PHC0160,What is the recommended management for a patient with a suspected suicidal attempt?,Immediate referral for psychiatric evaluation,Observation,Pain medication,Discharge home,A,The guideline recommends immediate referral for psychiatric evaluation for a patient with a suspected suicidal attempt[cite: 16].
Maternity0161,Which of the following is a key principle of respectful maternity care?,Always conduct examinations in public for transparency,Ensure informed consent and maintain confidentiality,Do not allow birth companions in labour wards,Share patient details with non-medical staff for safety,B,"Respectful maternity care requires informed consent, privacy, and confidentiality to uphold women's dignity."
Maternity0162,According to the guidelines what proportion of women in South Africa experience intimate partner violence during or after pregnancy?,1 in 10,1 in 6,1 in 4,1 in 2,C,This is the figure quoted in the guideline
Maternity0163,What is the first-line pharmacological treatment for moderate to severe perinatal depression or anxiety?,Tricyclic antidepressants,SSRIs,Benzodiazepines,Lithium,B,SSRIs are safe and effective as first-line treatment during pregnancy and breastfeeding.
Maternity0164,How is primary postpartum haemorrhage (PPH) defined?,Excessive bleeding within 12 hours post-delivery,Excessive bleeding from the genital tract within 24 hours,Blood loss greater than 1000ml within 48 hours,Blood loss greater than 2500ml at any point post-delivery,B,Primary PPH is defined as excessive bleeding within 24 hours after delivery.
Maternity0165,Which of the following is a recognised risk factor for maternal mental health conditions?,High educational attainment,Refugee or asylum seeker status,Multiparity without complications,Access to social support networks,B,Being a refugee or asylum seeker is a recognised risk factor.
Maternity0166,What is the purpose of the BANC Plus antenatal schedule?,To reduce number of antenatal visits,To increase visits for improved monitoring,To replace ultrasound scans,To avoid routine laboratory tests,B,BANC Plus increased the number of visits to improve outcomes.
Maternity0167,Which of the following is NOT a type of disrespect and abuse in maternity care?,Failure to provide services due to prejudice,Denying mobility or food in labour,Encouraging chosen birth position,Unwanted physical contact,C,Encouraging chosen birth positions is part of respectful care.
Maternity0168,Which simple measure can improve respectful communication during labour?,Shouting instructions,Using patientƒ??s preferred name,Withholding information until delivery,Allowing only one examination per labour,B,Calling women by their preferred name improves rapport and respect.
Maternity0169,Which statement about adolescent pregnancy is correct?,It carries lower risk than adult pregnancy,It is associated with higher risk of eclampsia and infections,It is always intended,It results in better neonatal outcomes,B,Adolescents face higher risks of complications such as eclampsia and infection.
Maternity0170,Which of the following should be done when a woman is experiencing pregnancy loss?,Leave her alone without explanation,Explain causes if known using simple language,Deny her access to the baby,Transfer her immediately without support,B,Women should receive explanations and compassionate support during loss.
Maternity0171,Which test is routinely used to screen for syphilis in pregnancy?,GeneXpert,RPR,CTG,HIV PCR,B,RPR is the standard screening test for syphilis in pregnancy.
Maternity0172,What is the recommended first-line uterotonic for prevention of postpartum haemorrhage?,Carboprost,Oxytocin,Misoprostol,Ergometrine,B,Oxytocin is the drug of choice for prevention of PPH.
Maternity0173,Which of the following defines pre-eclampsia with severe features?,Proteinuria only,BP ƒ?160/110 with organ dysfunction,BP ƒ?140/90 after 20 weeks with no symptoms,Any rise in BP in first trimester,B,"Severe features include high BP with organ dysfunction such as headache, visual changes, or elevated creatinine."
Maternity0174,What is the management of a septic miscarriage?,Observation only,Immediate uterine evacuation and IV antibiotics,Oral antibiotics at home,Iron supplementation only,B,Septic miscarriage requires immediate uterine evacuation and IV antibiotics.
Maternity0175,Which fetal heart rate is considered normal during labour?,80ƒ??100 bpm,100ƒ??110 bpm,110ƒ??160 bpm,160ƒ??200 bpm,C,Normal fetal heart rate in labour is 110ƒ??160 bpm.
Maternity0176,What is the safest delivery method for a transverse lie at term?,Normal vaginal delivery,Forceps extraction,Caesarean section,Vacuum delivery,C,Transverse lie usually requires caesarean section for safe delivery.
Maternity0177,What is the most appropriate response if a client is aggressive during labour care?,Argue and assert authority,Remain calm and acknowledge their emotions,Ignore the client,Remove their birth companion,B,Remaining calm and acknowledging emotion de-escalates situations.
Maternity0178,Which of the following is a recommended food supplement during pregnancy in South Africa?,Vitamin C,Folic acid and iron,High-dose Vitamin A,Calcium only,B,Folic acid and iron supplementation is standard in pregnancy.
Maternity0179,Which statement about kangaroo care is correct?,It should be avoided in preterm babies,It is recommended after delivery for bonding and warmth,It replaces breastfeeding,It is unsafe after caesarean delivery,B,Skin-to-skin contact improves bonding and thermoregulation.
Maternity0180,What is the most important first step in managing antepartum haemorrhage?,Immediate caesarean section,Determine maternal stability and resuscitate,Start oxytocin infusion immediately,Discharge home with bed rest,B,Initial step is resuscitation and maternal stabilisation.
Maternity0181,Which infection is specifically screened for at booking in antenatal care?,Hepatitis C,Malaria,HIV and syphilis,Dengue,C,HIV and syphilis are part of routine antenatal screening.
Maternity0182,Which of the following is NOT a feature of respectful workplace culture?,Positive feedback and support,Public criticism of colleagues,Constructive mentoring,Confidential performance feedback,B,Public criticism undermines respect and morale.
Maternity0183,What is the role of a birth companion during labour?,Provide emotional and practical support,Administer medications,Perform vaginal examinations,Direct medical management,A,Birth companions provide non-clinical emotional and practical support.
Maternity0184,What is the most common mental health condition affecting South African women during or after pregnancy?,Schizophrenia,Perinatal depression and anxiety,Bipolar disorder,PTSD,B,About 1 in 3 women experience perinatal depression or anxiety.
Maternity0185,Which of the following is a recommended screening schedule for maternal mental health?,Only postpartum,Once at booking and ideally each trimester,Only if patient has prior psychiatric history,Only in adolescents,B,Screening at booking and each trimester if possible helps early detection.
Maternity0186,Which of the following describes Baby Blues?,Persistent depression beyond 6 months,Temporary emotional changes resolving within 2 weeks,Severe psychosis needing admission,Anxiety disorder requiring benzodiazepines,B,Baby blues are transient emotional changes usually resolving within 2 weeks.
Maternity0187,What is the recommended first-line treatment for eclampsia?,Diazepam,Morphine,Magnesium sulphate,Phenytoin,C,Magnesium sulphate is the drug of choice for preventing and treating seizures in eclampsia.
Maternity0188,Which sign is most suggestive of abruptio placentae rather than placenta praevia?,Painless vaginal bleeding,Painful bleeding with uterine tenderness,Fetal parts easily felt,Absence of uterine contractions,B,Abruptio placentae typically presents with painful bleeding and uterine tenderness.
Maternity0189,What is the safest method of induction of labour in a woman with a previous caesarean section?,High-dose oxytocin,Prostaglandin E2 gel,Mechanical methods such as Foley catheter,Oral misoprostol,C,Mechanical induction methods are safer in women with prior uterine scar.
Maternity0190,Which of the following is part of the active management of the third stage of labour?,Allowing placenta to deliver spontaneously,Administering oxytocin,Encouraging supine position only,Delaying cord clamping for 10 minutes,B,Active management includes oxytocin administration to reduce risk of PPH.
Maternity0191,What is the most appropriate management for shoulder dystocia?,Apply fundal pressure,McRoberts manoeuvre and suprapubic pressure,Delay interventions until contractions resume,Vacuum extraction immediately,B,First-line management includes McRoberts manoeuvre and suprapubic pressure.
Maternity0192,Which of the following is a key danger sign in postpartum women?,Mild lochia,Transient night sweats,Heavy vaginal bleeding,Fatigue only,C,Heavy vaginal bleeding is a key danger sign for PPH.
Maternity0193,What is the management of a retained placenta after vaginal delivery?,Observe for 24 hours,Uterine massage only,Manual removal under anaesthesia,Give oral antibiotics and discharge,C,Manual removal under anaesthesia is needed if placenta does not deliver.
Maternity0194,Which antiretroviral regimen is most commonly recommended for pregnant women living with HIV in South Africa?,AZT monotherapy,"TLD regimen (Tenofovir, Lamivudine, Dolutegravir)",Efavirenz monotherapy,Protease inhibitors only,C,TLD is the current first line regimen
Maternity0195,Which measure helps prevent neural tube defects?,Vitamin C,Folic acid supplementation,Iron only,Vitamin D,B,Folic acid supplementation before and during pregnancy reduces neural tube defects.
Maternity0196,Which of the following defines gestational diabetes?,Diabetes diagnosed before pregnancy,Hyperglycaemia first recognised in pregnancy,Type 1 diabetes in pregnancy,Any elevated glucose after delivery,B,Gestational diabetes is hyperglycaemia first recognised during pregnancy.
Maternity0197,Which of the following maternal conditions increases risk of pre-eclampsia?,Multiparity,Obesity and chronic hypertension,Short stature only,History of appendicitis,B,Obesity and chronic hypertension are risk factors for pre-eclampsia.
Maternity0198,What is the definition of preterm labour?,Labour before 28 weeks,Labour before 37 completed weeks,Labour before 20 weeks,Labour before 34 completed weeks,B,Preterm labour refers to labour occurring before 37 completed weeks.
Maternity0199,Which statement about VBAC (Vaginal Birth After Caesarean) is correct?,It is contraindicated in all women,It is possible in selected women with one previous low transverse scar,It is safest after three caesareans,It should be avoided in rural hospitals,B,VBAC can be safely attempted in selected women with one prior low transverse caesarean.
Maternity0200,What is the first step in neonatal resuscitation?,Administer oxygen,Check breathing and stimulate the baby,Give chest compressions immediately,Insert IV fluids,B,Initial neonatal resuscitation begins with checking breathing and stimulation.
Maternity0201,Which of the following contraceptive methods is safe in breastfeeding women from 6 weeks postpartum?,Combined oral contraceptives,Progestogen-only methods,Estrogen patch,Emergency contraception only,B,Progestogen-only methods are safe for breastfeeding mothers from 6 weeks.
Maternity0202,Which infection in pregnancy requires intrapartum penicillin prophylaxis?,HIV,Group B Streptococcus,Malaria,Hepatitis B,B,Intrapartum penicillin prophylaxis is used for Group B Streptococcus.
Maternity0203,Which fetal presentation usually requires caesarean delivery?,Occiput anterior,Breech,Transverse lie,Face presentation,C,Transverse lie usually requires caesarean delivery.
Maternity0204,Which measure reduces mother-to-child transmission of HIV at delivery?,Elective caesarean section only,Exclusive breastfeeding with ART,Formula feeding only,Withholding ART,B,Exclusive breastfeeding with ART significantly reduces HIV transmission.
Maternity0205,What is the management of mild anaemia in pregnancy?,No intervention,Blood transfusion,Oral iron and folate supplementation,IV antibiotics,C,Mild anaemia is managed with oral iron and folate supplementation.
Maternity0206,Which of the following increases risk of postpartum depression?,Strong family support,History of psychiatric illness,Access to mental health care,Planned pregnancy,B,Past psychiatric history increases risk of postpartum depression.
Maternity0207,Which hypertensive disorder is defined as new hypertension after 20 weeks without proteinuria?,Chronic hypertension,Gestational hypertension,Pre-eclampsia,Secondary hypertension,B,Gestational hypertension is diagnosed after 20 weeks without proteinuria.
Maternity0208,Which of the following is the most effective emergency management of postpartum haemorrhage?,Delay until senior review,Immediate uterotonic drugs and uterine massage,Oral fluids and reassurance,Antibiotics only,B,Immediate use of uterotonic drugs and massage is essential.
Maternity0209,What is the first-line management of epilepsy in pregnancy?,Avoid medication,Phenytoin,Lamotrigine or sodium valproate,Carbamazepine,C,Lamotrigine or valproate are commonly used but valproate should be avoided if possible.
Maternity0210,Which maternal infection requires screening and treatment to prevent congenital anomalies?,Syphilis,Malaria,HIV,Chlamydia,A,Syphilis screening and treatment prevents congenital anomalies and stillbirth.
Maternity0211,Which of the following defines secondary postpartum haemorrhage?,Bleeding within 24 hours after delivery,Bleeding after 24 hours up to 12 weeks postpartum,Bleeding during caesarean only,Bleeding at time of miscarriage,B,Secondary PPH occurs after 24 hours up to 12 weeks postpartum.
Maternity0212,Which of the following is the leading cause of maternal death in South Africa?,Postpartum haemorrhage,Hypertensive disorders,HIV-related conditions,Sepsis,C,HIV-related conditions remain the leading cause of maternal mortality in South Africa.
Maternity0213,What is the most appropriate management of severe pre-eclampsia at 32 weeks?,Continue pregnancy with close observation,Immediate delivery after stabilisation,Bed rest until 37 weeks,Oral antihypertensives only,B,Definitive treatment of severe pre-eclampsia is delivery after maternal stabilisation.
Maternity0214,What is the definition of puerperal sepsis?,Infection of the genital tract from miscarriage only,Infection of the genital tract from onset of rupture of membranes to 42 days postpartum,Any infection after 1 year,Infection restricted to caesarean wounds,B,Puerperal sepsis is infection of the genital tract from rupture of membranes to 42 days postpartum.
Maternity0215,Which of the following is a recommended intervention for small-for-gestational-age babies?,Routine induction at 28 weeks,Enhanced surveillance and Doppler studies,No intervention,Immediate caesarean section at diagnosis,B,Management of SGA babies involves close surveillance and Doppler monitoring.
Maternity0216,Which statement about breastfeeding in HIV-positive mothers is correct?,Breastfeeding is contraindicated,Exclusive breastfeeding with ART is recommended,Formula feeding is safer in all cases,Mixed feeding is encouraged,B,Exclusive breastfeeding with ART is recommended to reduce HIV transmission.
Maternity0217,Which of the following defines placenta praevia?,Placenta implanted in lower uterine segment covering cervix,Premature separation of normally implanted placenta,Any bleeding before labour,Fetal membranes rupturing early,A,Placenta praevia refers to placental tissue covering or near the cervical os.
Maternity0218,What is the most appropriate management of ectopic pregnancy in an unstable patient?,Methotrexate therapy,Expectant management,Laparotomy with resuscitation,Laparoscopic salpingostomy,C,Unstable ruptured ectopic pregnancy requires immediate laparotomy with resuscitation.
Maternity0219,Which vaccine is routinely recommended during pregnancy in South Africa?,Yellow fever,Influenza and Tdap,Polio,Measles,B,Influenza and Tdap vaccines are recommended in pregnancy.
Maternity0220,Which of the following defines threatened miscarriage?,All products expelled,Closed cervix with vaginal bleeding,Open cervix with fetal expulsion,No bleeding but abdominal pain,B,Threatened miscarriage is vaginal bleeding with a closed cervix.
Maternity0221,Which of the following best describes respectful postnatal care?,Separating mother and infant routinely,Encouraging skin-to-skin contact,Transferring baby without consent,Withholding breastfeeding advice,B,Respectful postnatal care includes encouraging skin-to-skin contact.
Maternity0222,Which is the most common cause of secondary postpartum haemorrhage?,Trauma to genital tract,Endometritis and retained tissue,Hypertension,Coagulopathy,B,Secondary PPH is most often due to retained tissue or infection.
Maternity0223,What is the appropriate management of a woman with placenta praevia presenting with bleeding at 36 weeks?,Immediate vaginal delivery,Elective caesarean delivery,Expectant outpatient management,Forceps delivery,B,Placenta praevia usually requires caesarean delivery at term.
Maternity0224,Which of the following is a complication of multiple pregnancy?,Reduced risk of preterm labour,Increased risk of fetal growth restriction,Reduced risk of malpresentation,Lower risk of anaemia,B,Multiple pregnancies carry higher risk of preterm labour and growth restriction.
Maternity0225,Which of the following defines complete miscarriage?,Bleeding with retained tissue,Bleeding with closed cervix,All products of conception expelled,Infection with sepsis,C,"In complete miscarriage, all products of conception are expelled."
Maternity0226,What is the initial management of uterine inversion?,Immediate hysterectomy,Replace uterus manually,Delay management for theatre,Give only antibiotics,B,Immediate manual replacement of uterus is the first step.
Maternity0227,Which of the following is a recommended method of induction of labour with favourable cervix?,Mechanical methods,High-dose misoprostol,Oxytocin infusion,Elective caesarean,C,Oxytocin is used when cervix is favourable.
Maternity0228,What is the most common cause of perinatal mortality in South Africa?,Hypertensive disorders,HIV infection,Preterm birth complications,Birth asphyxia,C,Preterm birth complications are a leading cause of perinatal mortality.
Maternity0229,Which of the following is NOT part of active management of PPH?,Uterine massage,Immediate IV antibiotics,Uterotonics,Tranexamic acid,B,IV antibiotics are not part of active PPH management; they are used if infection is suspected.
Maternity0230,Which of the following defines inevitable miscarriage?,Bleeding with closed cervix,Bleeding with open cervix and products visible,No bleeding but abdominal pain,All products expelled,B,Inevitable miscarriage is bleeding with open cervix and visible products.
Maternity0231,What is the most appropriate management of asymptomatic bacteriuria in pregnancy?,No treatment required,Oral antibiotics,IV antibiotics,Increase fluids only,B,Asymptomatic bacteriuria requires oral antibiotics to prevent pyelonephritis.
Maternity0232,Which antihypertensive is safe for use in pregnancy?,ACE inhibitors,Methyldopa,Enalapril,Losartan,B,Methyldopa is a first-line antihypertensive safe in pregnancy.
Maternity0233,Which of the following is a feature of severe pre-eclampsia?,Mild headache only,Proteinuria with BP 130/80,Visual disturbances and elevated creatinine,No symptoms with mild hypertension,C,Severe pre-eclampsia involves high BP with organ dysfunction such as visual symptoms.
Maternity0234,Which of the following is the most common site for ectopic pregnancy?,Cervix,Ovary,Fallopian tube,Abdominal cavity,C,Most ectopic pregnancies occur in the fallopian tube.
Maternity0235,Which intervention is recommended in cases of chorioamnionitis?,Oral antibiotics only,Immediate delivery with IV antibiotics,No intervention until term,Bed rest only,B,Chorioamnionitis requires IV antibiotics and delivery.
Maternity0236,What is the most important step in preventing maternal deaths?,Only training doctors,Only equipping tertiary hospitals,Implementing evidence-based guidelines at all levels,Discouraging ANC attendance,C,Maternal deaths can be reduced by applying national evidence-based guidelines widely.
Maternity0237,Which of the following is a key principle of respectful care when engaging with adolescents?,Judging them for early pregnancy,Providing gentle and supportive care,Denying them antenatal care,Separating them from adult women,B,"Adolescents need non-judgmental, supportive care to encourage ANC attendance and improve outcomes."
Maternity0238,What is the most appropriate management for malaria in pregnancy?,No treatment required,Artemisinin-based combination therapy,Quinine only,Delay treatment until postpartum,B,Artemisinin-based therapies are recommended for malaria in pregnancy.
Maternity0239,Which of the following is an indication for intrapartum CTG monitoring?,Low-risk term pregnancy,Induction of labour,Preterm labour or suspected fetal compromise,Postnatal period,C,CTG is indicated in high-risk cases such as preterm labour or suspected compromise.
Maternity0240,Which mental health condition is most likely to present with hallucinations postpartum?,Postnatal depression,Bipolar disorder,Postnatal psychosis,Anxiety disorder,C,Postnatal psychosis can present with hallucinations and requires urgent care.
Maternity0241,Which is the most common cause of maternal anaemia in South Africa?,Vitamin B12 deficiency,Iron deficiency,Folate deficiency,Chronic renal failure,B,Iron deficiency is the leading cause of maternal anaemia.
Maternity0242,Which of the following is a danger sign in pregnancy requiring immediate referral?,Mild ankle swelling,Occasional nausea,Severe headache and blurred vision,Mild fatigue,C,Severe headache and blurred vision may indicate pre-eclampsia.
Maternity0243,Which contraceptive method can be safely initiated immediately postpartum?,Combined oral contraceptive,Progestogen-only implant,Estrogen patch,Intrauterine device in all cases,B,Progestogen-only methods can be safely initiated immediately postpartum.
Maternity0244,Which of the following defines postpartum sepsis?,Any fever after delivery,Genital tract infection within 42 days after birth,UTI during pregnancy only,Common cold after labour,B,Postpartum sepsis refers to genital tract infection within 42 days postpartum.
Maternity0245,Which is the most appropriate management of severe postpartum haemorrhage unresponsive to uterotonics?,Observation only,Uterine massage only,Uterine balloon tamponade or surgical intervention,Discharge home with iron supplements,C,"When uterotonics fail, balloon tamponade or surgery may be required."
Maternity0246,Which of the following is the most important prevention strategy for obstetric fistula?,Early caesarean section for all,Preventing prolonged obstructed labour,Delaying first pregnancy,Use of high-dose oxytocin indiscriminately,B,Preventing prolonged obstructed labour is key to preventing obstetric fistula.
Maternity0247,Which of the following describes Tocophobia?,Fear of pregnancy,Abnormal persistent fear of childbirth,Postnatal depression,Obsession with neonatal health,B,"Tocophobia is an abnormal, persistent fear of childbirth."
Maternity0248,Which condition is most strongly associated with neonatal death?,Preterm birth,Term vaginal delivery,Elective caesarean section,Post-term birth,A,Preterm birth is strongly associated with neonatal mortality.
Maternity0249,What is the first-line antibiotic for urinary tract infection in pregnancy?,Ciprofloxacin,Amoxicillin or cephalexin,Tetracycline,Doxycycline,B,Amoxicillin or cephalexin are safe first-line antibiotics in pregnancy.
Maternity0250,Which of the following defines recurrent miscarriage?,Two or more consecutive miscarriages,Three or more consecutive miscarriages,One miscarriage after 20 weeks,Any miscarriage before 12 weeks,B,Recurrent miscarriage is defined as three or more consecutive losses.
Maternity0251,Which of the following is recommended for mothers experiencing Baby Blues?,SSRIs immediately,Compassionate support and monitoring,Electroconvulsive therapy,Benzodiazepines,C,Baby Blues usually resolve with support; careful monitoring is important.
Maternity0252,Which antiretroviral drug should be avoided in the first trimester due to risk of neural tube defects?,Dolutegravir,Tenofovir,Lamivudine,Efavirenz,A,Dolutegravir is avoided in the first trimester due to neural tube defect risk.
Maternity0253,What is the recommended management of prolonged pregnancy (>41 weeks)?,No intervention until 43 weeks,Induction of labour,Elective caesarean at 38 weeks,Discharge until labour starts naturally,B,Induction of labour is recommended for prolonged pregnancy.
Maternity0254,Which of the following is the safest analgesia for asthma in pregnancy?,Aspirin,NSAIDs,Paracetamol,High-dose morphine,C,Paracetamol is safe for pain relief in asthmatic pregnant women.
Maternity0255,Which infection requires IPTp (intermittent preventive treatment) in pregnancy?,HIV,Tuberculosis,Malaria,Syphilis,C,Malaria prevention during pregnancy includes intermittent preventive treatment in endemic areas.
Maternity0256,Which of the following is a contraindication to induction of labour at district hospital level?,Hypertension,Previous caesarean section,Post-term pregnancy,Preterm labour,B,Previous caesarean section is a contraindication to IOL at district level.
Maternity0257,Which of the following is part of respectful care when communicating across language barriers?,Use of hostile tone,Refusing to treat patient,Using simple sentences and translation,Only treating if interpreter is available,C,"Simple communication, translation, and visual aids improve respectful care."
Maternity0258,What is the first-line management for an HIV-exposed infant after birth?,No prophylaxis needed,Nevirapine prophylaxis,Immediate ART initiation,Formula feeding only,B,HIV-exposed infants should receive nevirapine prophylaxis.
Maternity0259,Which of the following is the most effective immediate management of eclampsia?,IV fluids only,Magnesium sulphate,Diazepam and oxygen,Antihypertensives only,B,Magnesium sulphate is the immediate management for eclampsia seizures.
Maternity0260,What is the recommended first-line management of gestational diabetes?,Insulin therapy for all,Diet and lifestyle modification,Oral hypoglycaemic agents always,No treatment needed,B,Diet and lifestyle are first-line; insulin is added if inadequate.
Maternity0261,Which of the following defines complete placenta praevia?,Placenta implanted low but not covering cervix,Placenta entirely covering cervical os,Placenta implanted normally,Placenta covering only uterine wall,B,Complete placenta praevia means placenta fully covers the cervical os.
PaedsTB0262,What percentage of the estimated 27000 children with TB in South Africa were notified and reported to the WHO in 2022?,0.39,0.51,0.61,0.93,C,"In 2022,  South Africa reported 16534 child TB notifications which accounts for 61% of the estimated 27000 children with TB in the country[cite: 30]."
PaedsTB0263,According to the guideline which of the following is a key update in the revised South African recommendations?, The use of a clinical treatment decision algorithm to support clinicians at the tertiary level., The use of additional specimens to confirm a diagnosis of TB in children., A new focus on treatment lengthening for non-severe forms of TB., The exclusive use of the Tuberculin Skin Test (TST) for diagnosis.,B,"The new South African recommendations include key updates such as the use of additional specimens for diagnosis and a clinical treatment decision algorithm for primary health care clinicians[cite: 6, 7]"
PaedsTB0264,Which term has replaced 'latent TB' in the updated guidelines for children and adolescents?, TB disease, Presumptive TB, TB infection, Significant TB exposure,C,The term latent TB has been replaced by the term TB infection as children are mostly recently infected
